method,threshold,precision,recall,f1,tp,fp,fn,tn
minhash_lsh,0.0,0.5,1.0,0.6666666666666666,30,30,0,0
minhash_lsh,0.02,0.6,1.0,0.7499999999999999,30,20,0,10
minhash_lsh,0.04,0.6,1.0,0.7499999999999999,30,20,0,10
minhash_lsh,0.06,0.6122448979591837,1.0,0.759493670886076,30,19,0,11
minhash_lsh,0.08,0.6444444444444445,0.9666666666666667,0.7733333333333334,29,16,1,14
minhash_lsh,0.1,0.7,0.9333333333333333,0.8,28,12,2,18
minhash_lsh,0.12,0.7105263157894737,0.9,0.7941176470588235,27,11,3,19
minhash_lsh,0.14,0.7222222222222222,0.8666666666666667,0.7878787878787877,26,10,4,20
minhash_lsh,0.16,0.7142857142857143,0.8333333333333334,0.7692307692307692,25,10,5,20
minhash_lsh,0.18,0.75,0.8,0.7741935483870969,24,8,6,22
minhash_lsh,0.2,0.7333333333333333,0.7333333333333333,0.7333333333333333,22,8,8,22
minhash_lsh,0.22,0.75,0.7,0.7241379310344827,21,7,9,23
minhash_lsh,0.24,0.75,0.7,0.7241379310344827,21,7,9,23
minhash_lsh,0.26,0.75,0.7,0.7241379310344827,21,7,9,23
minhash_lsh,0.28,0.7407407407407407,0.6666666666666666,0.7017543859649122,20,7,10,23
minhash_lsh,0.3,0.72,0.6,0.6545454545454547,18,7,12,23
minhash_lsh,0.32,0.7083333333333334,0.5666666666666667,0.6296296296296297,17,7,13,23
minhash_lsh,0.34,0.6956521739130435,0.5333333333333333,0.6037735849056605,16,7,14,23
minhash_lsh,0.36,0.6956521739130435,0.5333333333333333,0.6037735849056605,16,7,14,23
minhash_lsh,0.38,0.6956521739130435,0.5333333333333333,0.6037735849056605,16,7,14,23
minhash_lsh,0.4,0.7272727272727273,0.5333333333333333,0.6153846153846153,16,6,14,24
minhash_lsh,0.42,0.7142857142857143,0.5,0.588235294117647,15,6,15,24
minhash_lsh,0.44,0.7142857142857143,0.5,0.588235294117647,15,6,15,24
minhash_lsh,0.46,0.7142857142857143,0.5,0.588235294117647,15,6,15,24
minhash_lsh,0.48,0.75,0.5,0.6,15,5,15,25
minhash_lsh,0.5,0.75,0.5,0.6,15,5,15,25
minhash_lsh,0.52,0.8333333333333334,0.5,0.625,15,3,15,27
minhash_lsh,0.54,0.8333333333333334,0.5,0.625,15,3,15,27
minhash_lsh,0.56,0.8333333333333334,0.5,0.625,15,3,15,27
minhash_lsh,0.58,0.8333333333333334,0.5,0.625,15,3,15,27
minhash_lsh,0.6,0.8333333333333334,0.5,0.625,15,3,15,27
minhash_lsh,0.62,0.8823529411764706,0.5,0.6382978723404256,15,2,15,28
minhash_lsh,0.64,0.8823529411764706,0.5,0.6382978723404256,15,2,15,28
minhash_lsh,0.66,0.875,0.4666666666666667,0.608695652173913,14,2,16,28
minhash_lsh,0.68,0.8666666666666667,0.43333333333333335,0.5777777777777778,13,2,17,28
minhash_lsh,0.7,0.9285714285714286,0.43333333333333335,0.5909090909090909,13,1,17,29
minhash_lsh,0.72,0.9285714285714286,0.43333333333333335,0.5909090909090909,13,1,17,29
minhash_lsh,0.74,1.0,0.43333333333333335,0.6046511627906976,13,0,17,30
minhash_lsh,0.76,1.0,0.4,0.5714285714285715,12,0,18,30
minhash_lsh,0.78,1.0,0.4,0.5714285714285715,12,0,18,30
minhash_lsh,0.8,1.0,0.26666666666666666,0.4210526315789474,8,0,22,30
minhash_lsh,0.82,1.0,0.26666666666666666,0.4210526315789474,8,0,22,30
minhash_lsh,0.84,1.0,0.2,0.33333333333333337,6,0,24,30
minhash_lsh,0.86,1.0,0.13333333333333333,0.23529411764705882,4,0,26,30
minhash_lsh,0.88,1.0,0.13333333333333333,0.23529411764705882,4,0,26,30
minhash_lsh,0.9,1.0,0.1,0.18181818181818182,3,0,27,30
minhash_lsh,0.92,1.0,0.1,0.18181818181818182,3,0,27,30
minhash_lsh,0.94,1.0,0.1,0.18181818181818182,3,0,27,30
minhash_lsh,0.96,1.0,0.1,0.18181818181818182,3,0,27,30
minhash_lsh,0.98,1.0,0.1,0.18181818181818182,3,0,27,30
minhash_lsh,1.0,1.0,0.1,0.18181818181818182,3,0,27,30
simhash,0.0,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.02,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.04,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.06,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.08,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.1,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.12,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.14,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.16,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.18,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.2,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.22,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.24,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.26,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.28,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.3,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.32,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.34,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.36,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.38,0.5,1.0,0.6666666666666666,30,30,0,0
simhash,0.4,0.5084745762711864,1.0,0.6741573033707865,30,29,0,1
simhash,0.42,0.5084745762711864,1.0,0.6741573033707865,30,29,0,1
simhash,0.44,0.5357142857142857,1.0,0.6976744186046512,30,26,0,4
simhash,0.46,0.5555555555555556,1.0,0.7142857142857143,30,24,0,6
simhash,0.48,0.56,0.9333333333333333,0.7000000000000001,28,22,2,8
simhash,0.5,0.5531914893617021,0.8666666666666667,0.6753246753246753,26,21,4,9
